,nfetPhig,pfetPhig,capacitance,voltage,finsNumber,tphL,tplH,energy,temperature,finLength,finHeight
196,-1.8849,0.6073,1e-15,0.6,2,1.564968e-11,7.077219e-12,-5.6824e-15,125.0,2.1e-08,3.2e-08
197,0.8013,0.2451,1e-15,0.6,2,1.702222e-11,1.029365e-11,-5.605477e-15,125.0,2.1e-08,3.2e-08
198,-1.3209,0.8362,1e-15,0.6,2,1.71898e-11,7.560301e-12,-5.639304e-15,125.0,2.1e-08,3.2e-08
199,-2.4502,-1.2897,1e-15,0.6,2,2.303044e-11,6.594369e-12,-5.627594e-15,125.0,2.1e-08,3.2e-08
200,0.0,0.0,1e-15,0.6,2,1.66406e-11,8.555337e-12,-5.634747e-15,75.0,2.1e-08,3.2e-08
201,-0.8014,-0.8294,1e-15,0.6,2,2.141633e-11,7.652693e-12,-5.65079e-15,75.0,2.1e-08,3.2e-08
202,-0.2677,0.215,1e-15,0.6,2,1.597584e-11,8.24094e-12,-5.636329e-15,75.0,2.1e-08,3.2e-08
203,1.6757,0.8946,1e-15,0.6,2,1.563569e-11,1.11682e-11,-5.630908e-15,75.0,2.1e-08,3.2e-08
204,0.2014,1.0447,1e-15,0.6,2,1.479289e-11,8.808539e-12,-5.56963e-15,75.0,2.1e-08,3.2e-08
205,-1.7987,2.7742,1e-15,0.6,2,1.180433e-11,6.789327e-12,-5.694473e-15,75.0,2.1e-08,3.2e-08
