$DATA1 SOURCE='PrimeSim HSPICE' VERSION='S-2021.09-2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*inversor'
index,tphl,tplh,iint,temper,alter#
301, 1.081008e-11, 6.536974e-12,-1.917655e-15,   0.,3
302, 1.192381e-11, 6.334445e-12,-1.585942e-15,   0.,3
303, 1.155889e-11, 6.334191e-12,-2.016661e-15,   0.,3
304, 1.119754e-11, 6.398611e-12,-1.907674e-15,   0.,3
305, 1.188249e-11, 6.089641e-12,-1.673868e-15,   0.,3
306, 1.187476e-11, 5.867413e-12,-1.785167e-15,   0.,3
307, 1.043192e-11, 6.343803e-12,-1.872998e-15,   0.,3
308, 1.106248e-11, 6.721739e-12,-1.791842e-15,   0.,3
309, 1.104385e-11, 6.746288e-12,-1.787436e-15,   0.,3
310, 1.155646e-11, 6.512598e-12,-1.876244e-15,   0.,3
311, 1.161862e-11, 6.191603e-12,-1.672267e-15,   0.,3
312, 1.078230e-11, 6.739761e-12,-1.850366e-15,   0.,3
313, 1.113099e-11, 6.064960e-12,-2.202683e-15,   0.,3
314, 9.967628e-12, 5.993677e-12,-2.354407e-15,   0.,3
315, 1.131065e-11, 6.603184e-12,-1.791464e-15,   0.,3
316, 1.112339e-11, 6.717231e-12,-1.781162e-15,   0.,3
317, 1.117489e-11, 6.199022e-12,-2.060758e-15,   0.,3
318, 1.213362e-11, 6.467406e-12,-1.757176e-15,   0.,3
319, 1.200452e-11, 6.718928e-12,-1.708060e-15,   0.,3
320, 1.079277e-11, 6.665631e-12,-1.874335e-15,   0.,3
321, 1.121179e-11, 6.331054e-12,-1.950913e-15,   0.,3
322, 1.157096e-11, 6.648979e-12,-1.822475e-15,   0.,3
323, 1.089481e-11, 6.632724e-12,-1.853519e-15,   0.,3
324, 1.072357e-11, 6.269159e-12,-2.108153e-15,   0.,3
325, 1.139394e-11, 6.540765e-12,-1.807309e-15,   0.,3
326, 1.038300e-11, 6.078453e-12,-1.999142e-15,   0.,3
327, 1.065365e-11, 6.907313e-12,-1.839146e-15,   0.,3
328, 1.097455e-11, 6.215463e-12,-2.083764e-15,   0.,3
329, 1.170812e-11, 5.665127e-12,-1.964542e-15,   0.,3
330, 1.075412e-11, 6.365125e-12,-2.029591e-15,   0.,3
331, 1.152335e-11, 6.229591e-12,-1.994527e-15,   0.,3
332, 1.113735e-11, 6.184499e-12,-2.080438e-15,   0.,3
333, 1.163931e-11, 5.626279e-12,-2.012823e-15,   0.,3
334, 1.084691e-11, 6.929693e-12,-1.783285e-15,   0.,3
335, 1.067233e-11, 6.771377e-12,-1.869312e-15,   0.,3
336, 1.093376e-11, 6.595055e-12,-1.860131e-15,   0.,3
337, 1.036523e-11, 6.330137e-12,-1.910334e-15,   0.,3
338, 1.137480e-11, 6.318563e-12,-1.944953e-15,   0.,3
339, 1.073890e-11, 6.741974e-12,-1.861011e-15,   0.,3
340, 1.109964e-11, 5.940702e-12,-2.366270e-15,   0.,3
341, 1.105908e-11, 6.593278e-12,-1.834025e-15,   0.,3
342, 1.120096e-11, 6.091754e-12,-2.161172e-15,   0.,3
343, 1.207587e-11, 6.368510e-12,-1.820499e-15,   0.,3
344, 1.035016e-11, 5.698220e-12,-2.278752e-15,   0.,3
345, 1.079419e-11, 6.316995e-12,-2.051330e-15,   0.,3
346, 1.153329e-11, 6.549727e-12,-1.781169e-15,   0.,3
347, 1.075092e-11, 6.688383e-12,-1.876807e-15,   0.,3
348, 1.146884e-11, 6.437010e-12,-1.857605e-15,   0.,3
349, 1.240358e-11, 6.346237e-12,-1.800416e-15,   0.,3
350, 1.185493e-11, 6.152492e-12,-1.653095e-15,   0.,3
351, 1.134517e-11, 6.764013e-12,-1.731064e-15,   0.,3
352, 1.110060e-11, 6.452189e-12,-1.895453e-15,   0.,3
353, 1.130097e-11, 6.722340e-12,-1.747284e-15,   0.,3
354, 1.158508e-11, 6.509129e-12,-1.910164e-15,   0.,3
355, 1.100602e-11, 6.370589e-12,-1.962621e-15,   0.,3
356, 1.118531e-11, 6.647229e-12,-1.795094e-15,   0.,3
357, 1.049692e-11, 6.097609e-12,-1.934781e-15,   0.,3
358, 1.132058e-11, 6.271584e-12,-1.985270e-15,   0.,3
359, 1.023323e-11, 5.806043e-12,-2.257776e-15,   0.,3
360, 1.150373e-11, 6.665447e-12,-1.737749e-15,   0.,3
361, 1.184809e-11, 6.169646e-12,-1.647727e-15,   0.,3
362, 1.164918e-11, 5.901806e-12,-1.797051e-15,   0.,3
363, 1.076562e-11, 6.687272e-12,-1.873314e-15,   0.,3
364, 1.145822e-11, 6.650286e-12,-1.754063e-15,   0.,3
365, 1.157575e-11, 6.571863e-12,-1.859775e-15,   0.,3
366, 1.166541e-11, 6.035467e-12,-1.727355e-15,   0.,3
367, 1.149674e-11, 6.404874e-12,-1.872121e-15,   0.,3
368, 1.169356e-11, 6.047509e-12,-1.717788e-15,   0.,3
369, 1.083251e-11, 6.586142e-12,-1.888874e-15,   0.,3
370, 1.093784e-11, 6.399348e-12,-1.959643e-15,   0.,3
371, 1.214960e-11, 6.504168e-12,-1.735976e-15,   0.,3
372, 1.104844e-11, 6.452006e-12,-1.906160e-15,   0.,3
373, 1.100604e-11, 6.644452e-12,-1.823986e-15,   0.,3
374, 1.123033e-11, 6.326803e-12,-1.950922e-15,   0.,3
375, 1.153239e-11, 6.196553e-12,-2.019688e-15,   0.,3
376, 1.159713e-11, 5.890085e-12,-1.812703e-15,   0.,3
377, 1.122365e-11, 6.136108e-12,-2.111883e-15,   0.,3
378, 1.117012e-11, 6.488196e-12,-1.862855e-15,   0.,3
379, 1.148236e-11, 6.368589e-12,-1.898095e-15,   0.,3
380, 1.072858e-11, 6.436465e-12,-1.992883e-15,   0.,3
381, 1.155459e-11, 6.223923e-12,-2.112553e-15,   0.,3
382, 1.132725e-11, 6.409848e-12,-1.891138e-15,   0.,3
