,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,t_fall_time,t_rise_time,temper
121,-0.7223,-0.2172,1f,0.6,1,1.268082e-11,3.317189e-11,2.388357e-11,4.643554e-11,75.0
122,-0.5204,-1.5757,1f,0.6,1,1.296056e-11,4.821711e-11,2.444668e-11,6.823576e-11,75.0
123,1.4914,1.8448,1f,0.6,1,1.861345e-11,2.392267e-11,2.997812e-11,3.715511e-11,75.0
124,-0.2509,1.7263,1f,0.6,1,1.380425e-11,2.429247e-11,2.46e-11,3.783311e-11,75.0
125,-0.6471,0.4233,1f,0.6,1,1.350133e-11,2.927325e-11,2.074321e-11,4.292762e-11,75.0
126,-1.3806,-0.6952,1f,0.6,1,1.17984e-11,4.013612e-11,2.155199e-11,5.540104e-11,75.0
127,-0.9646,0.383,1f,0.6,1,1.313649e-11,2.901869e-11,2.102198e-11,4.352036e-11,75.0
128,0.667,1.6099,1f,0.6,1,1.591972e-11,2.461069e-11,2.687366e-11,3.836541e-11,75.0
129,-0.4127,0.7432,1f,0.6,1,1.372296e-11,2.756832e-11,2.396643e-11,4.071134e-11,75.0
130,1.0667,0.5062,1f,0.6,1,1.782617e-11,2.852248e-11,2.850961e-11,4.251043e-11,75.0
131,-0.6887,0.1982,1f,0.6,1,1.294728e-11,3.0892e-11,2.368831e-11,4.812638e-11,75.0
132,-0.9693,-1.3396,1f,0.6,1,1.23873e-11,4.26547e-11,2.260468e-11,5.904105e-11,75.0
133,-0.4554,-0.8909,1f,0.6,1,1.360745e-11,3.77944e-11,2.382672e-11,5.465226e-11,75.0
134,-1.3938,-0.6278,1f,0.6,1,1.180172e-11,3.781117e-11,2.148765e-11,5.487074e-11,75.0
135,-0.4497,1.4317,1f,0.6,1,1.326308e-11,2.519178e-11,2.43952e-11,3.912045e-11,75.0
136,-0.258,1.7744,1f,0.6,1,1.413624e-11,2.416917e-11,2.397502e-11,3.783482e-11,75.0
137,-0.05788,-0.6133,1f,0.6,1,1.436174e-11,3.527601e-11,2.252065e-11,5.0259e-11,75.0
138,0.9223,-1.435,1f,0.6,1,1.651857e-11,4.413475e-11,2.737642e-11,5.977268e-11,75.0
139,-0.5781,-0.05277,1f,0.6,1,1.313861e-11,3.221378e-11,2.394168e-11,4.496696e-11,75.0
140,0.9878,0.4383,1f,0.6,1,1.764471e-11,2.898232e-11,2.741964e-11,4.295025e-11,75.0
141,0.7875,0.518,1f,0.6,1,1.686101e-11,2.88056e-11,2.672488e-11,4.229162e-11,75.0
142,-0.6764,0.3506,1f,0.6,1,1.347022e-11,2.967487e-11,2.068841e-11,4.343694e-11,75.0
143,-0.2638,0.3708,1f,0.6,1,1.433816e-11,2.932696e-11,2.189644e-11,4.337155e-11,75.0
144,0.1919,0.6274,1f,0.6,1,1.491094e-11,3.067071e-11,2.518949e-11,4.488717e-11,75.0
145,-0.5351,1.532,1f,0.6,1,1.310079e-11,2.487383e-11,2.420857e-11,3.864115e-11,75.0
146,-0.6454,1.4374,1f,0.6,1,1.28135e-11,2.518366e-11,2.407239e-11,3.908201e-11,75.0
147,0.196,-0.4051,1f,0.6,1,1.506239e-11,3.429406e-11,2.515422e-11,4.831245e-11,75.0
148,0.9222,-0.2628,1f,0.6,1,1.656535e-11,3.311939e-11,2.808198e-11,4.675444e-11,75.0
149,1.0165,-0.6328,1f,0.6,1,1.7356e-11,3.574369e-11,2.986588e-11,5.075195e-11,75.0
150,0.0,0.0,1f,0.6,1,1.341855e-11,3.061103e-11,2.401371e-11,4.693497e-11,25.0
151,-0.8014,-0.8294,1f,0.6,1,1.234553e-11,3.583783e-11,1.89919e-11,5.064998e-11,25.0
152,-0.2677,0.215,1f,0.6,1,1.353364e-11,2.897173e-11,2.055067e-11,4.244351e-11,25.0
153,1.6757,0.8946,1f,0.6,1,1.765497e-11,2.579183e-11,2.898856e-11,3.762655e-11,25.0
154,0.2014,1.0447,1f,0.6,1,1.389238e-11,2.547432e-11,2.434381e-11,3.697447e-11,25.0
155,-1.7987,2.7742,1f,0.6,1,1.067175e-11,2.104057e-11,1.920057e-11,3.236264e-11,25.0
156,0.656,-1.2719,1f,0.6,1,1.503568e-11,3.95911e-11,2.500726e-11,5.774133e-11,25.0
157,-0.4937,0.4482,1f,0.6,1,1.318158e-11,2.77399e-11,2.087821e-11,4.050787e-11,25.0
158,0.3209,1.4379,1f,0.6,1,1.401584e-11,2.417226e-11,2.481654e-11,3.739257e-11,25.0
159,-0.5189,-0.378,1f,0.6,1,1.320346e-11,3.447996e-11,2.083839e-11,4.956107e-11,25.0
160,0.5518,0.3415,1f,0.6,1,1.542311e-11,2.826068e-11,2.31399e-11,4.118437e-11,25.0
161,0.29,-0.1841,1f,0.6,1,1.400289e-11,3.160256e-11,2.465363e-11,4.38589e-11,25.0
162,0.8485,-0.7446,1f,0.6,1,1.578587e-11,3.497871e-11,2.537544e-11,4.949338e-11,25.0
163,-1.2438,0.6697,1f,0.6,1,1.128588e-11,2.79218e-11,1.943336e-11,4.185117e-11,25.0
